PR number,label
4882,area: Networking
4890,area: Documentation
4907,area: Networking
4920,area: Memory Protection
4920,platform: NXP
4938,area: Networking
4942,area: USB
4943,platform: STM32
4955,area: Networking
4956,area: Networking
4965,area: Networking
4967,bug
4967,area: ARC
4967,area: Memory Protection
4972,area: Networking
4974,area: ARM
4974,area: Memory Protection
4981,area: Networking
4982,area: Networking
4988,area: Networking
4991,area: X86
4991,area: Devicetree
4993,bug
4993,area: I2C
4993,platform: STM32
4997,Feature
4997,area: Networking
4999,area: USB
5001,RFC
5013,area: Networking
5015,area: Networking
5018,area: Networking
5021,area: Devicetree
5021,area: Pinmux
5021,platform: STM32
5021,RFC
5021,platform: NXP
5021,DNM
5023,platform: NXP
5024,area: Networking
5029,area: Documentation
5030,area: Networking
5031,area: Documentation
5031,RFC
5033,area: Networking
5034,area: Networking
5035,area: Networking
5036,area: Networking
5038,area: Networking
5043,area: ARM
5043,platform: NXP
5044,area: Documentation
5045,area: Documentation
5064,area: Networking
5065,area: Memory Protection
5067,area: Networking
5071,area: Memory Protection
5072,area: Networking
5074,area: Networking
5075,EXT
5076,area: Devicetree
5077,area: Networking
5078,area: Networking
5088,area: Networking
5099,area: Networking
5102,area: Networking
5111,area: Memory Protection
5113,platform: ESP32
5129,area: Networking
5134,area: Networking
5160,area: ARM
5160,area: Boards
5160,area: Samples
5163,area: USB
5163,platform: STM32
5166,area: USB
5166,platform: STM32
5171,area: ARM
5171,area: Boards
5171,platform: STM32
5174,area: Networking
5174,area: USB
5179,area: Networking
5180,area: Networking
5181,platform: NXP
5187,area: Memory Protection
5194,bug
5194,area: Devicetree
5197,area: Memory Protection
5199,area: SPI
5199,area: ARM
5199,area: Boards
5199,platform: STM32
5200,area: SPI
5200,platform: STM32
5201,area: Build System
5202,area: Networking
5202,area: Tests
5205,area: ARM
5205,area: Memory Protection
5208,area: USB
5209,area: ARM
5209,area: Boards
5209,platform: STM32
5213,area: ARM
5213,area: Boards
5213,platform: STM32
5214,area: USB
5214,platform: STM32
5217,area: Drivers
5217,area: Networking
5219,area: Documentation
5224,area: I2C
5225,bug
5225,area: Build System
5227,area: ARM
5227,area: Boards
5227,platform: STM32
5229,bug
5229,priority: high
5229,area: Build System
5231,area: USB
5232,area: Build System
5232,area: Debugging
5232,area: Flashing
5237,bug
5237,area: Documentation
5239,area: Tests
5242,area: Networking
5250,area: ARM
5250,area: Boards
5250,platform: STM32
5251,area: Drivers
5251,area: Networking
5255,area: Networking
5257,area: Drivers
5257,area: UART
5257,platform: nRF
5260,area: ARM
5260,area: Boards
5260,platform: STM32
5267,area: Networking
5268,bug
5272,area: Bluetooth
5273,area: Networking
5277,bug
5277,area: Build System
5279,Enhancement
5279,area: Build System
5280,area: Networking
5300,area: Networking
5302,Enhancement
5302,area: Build System
5303,bug
5304,bug
5313,area: Bluetooth
5319,area: Networking
5330,area: ARM
5330,area: Boards
5330,platform: NXP
5332,area: Build System
5338,area: Networking
5339,area: Networking
5340,area: Networking
5342,area: API
5354,area: ARM
5381,area: ARM
5381,area: Boards
5381,area: Devicetree
5381,platform: STM32
5383,area: ARM
5383,area: Boards
5383,EXT
5394,area: Drivers
5394,platform: STM32
5395,area: Drivers
5395,platform: STM32
5399,area: Documentation
5405,area: ARM
5405,area: Boards
5405,platform: STM32
5413,area: SPI
5413,area: ARM
5413,platform: STM32
5415,area: Build System
5415,area: Documentation
5420,platform: STM32
5424,area: Kernel
5427,area: ARM
5434,area: Debugging
5434,area: Flashing
5437,area: ARM
5437,area: Boards
5437,area: Flash
5437,platform: Microchip SAM
5447,area: Memory Protection
5451,area: Flash
5451,area: Devicetree
5451,platform: STM32
5455,platform: STM32
5455,area: Crypto / RNG
5456,area: SPI
5456,area: Flash
5461,area: Boards
5461,area: Xtensa
5462,platform: STM32
5465,platform: STM32
5469,area: ARM
5469,platform: STM32
5502,area: Networking
5503,area: Build System
5506,platform: STM32
5511,area: Networking
5512,area: Networking
5514,area: Networking
5515,area: ARM
5515,area: Boards
5515,platform: STM32
5541,area: ARM
5541,area: Boards
5541,platform: STM32
5549,area: ARM
5549,area: Boards
5549,platform: nRF
5559,area: Build System
5561,area: ARM
5561,area: UART
5562,platform: STM32
5564,platform: STM32
5568,area: ARM
5568,area: Boards
5570,area: C Library
5570,area: Console
5574,area: SPI
5574,area: Boards
5581,area: Sensors
5581,area: API
5582,area: SPI
5582,area: ARM
5582,area: Devicetree
5582,platform: STM32
5587,area: I2C
5587,area: ARM
5587,platform: STM32
5594,area: Build System
5594,area: Toolchains
5596,DNM
5597,area: Networking
5599,area: Networking
5602,area: Networking
5607,area: Memory Protection
5609,area: Build System
5610,area: Build System
5611,area: Build System
5612,area: native port
5615,DNM
5617,area: Crypto / RNG
5617,DNM
5618,area: Documentation
5621,area: Networking
5623,area: ARM
5623,area: Boards
5623,platform: Microchip SAM
5623,DNM
5623,EXT
5624,area: Networking
5625,area: Memory Protection
5629,area: Networking
5630,area: Documentation
5630,area: native port
5631,area: Bluetooth
5631,area: Tests
5631,area: native port
5636,area: Sensors
5636,platform: STM32
5652,area: USB
5671,area: Networking
5672,area: Memory Protection
5677,area: native port
5681,area: Networking
5682,area: Bluetooth
5682,platform: nRF
5686,platform: STM32
5688,area: Networking
5698,area: Sensors
5698,area: Devicetree
5698,platform: NXP
5705,area: Bluetooth
5705,area: Tests
5706,area: Memory Protection
5709,area: Networking
5711,area: Networking
5712,area: Boards
5712,area: Pinmux
5713,area: USB
5715,area: GPIO
5715,area: ARM
5715,platform: Microchip SAM
5721,area: Bluetooth
5721,area: Networking
5730,area: SPI
5730,area: Tests
5730,platform: Microchip SAM
5731,area: SPI
5731,platform: Microchip SAM
5745,area: Networking
5748,area: Networking
5750,area: Networking
5751,platform: STM32
5754,platform: STM32
5764,DNM
5764,area: LoRa
5768,area: Documentation
5768,area: native port
5774,area: Build System
5775,area: native port
5776,area: native port
5780,area: ARM
5780,area: UART
5780,platform: Microchip SAM
5791,area: Networking
5791,area: Devicetree
5793,area: Flash
5793,area: Devicetree
5796,area: SPI
5798,area: Build System
5798,area: Devicetree
5799,area: GPIO
5799,area: Devicetree
5799,area: Pinmux
5799,RFC
5799,DNM
5800,area: ARM
5800,area: Flash
5800,area: Devicetree
5800,platform: STM32
5806,area: ARM
5806,area: Memory Protection
5811,area: USB
5819,area: Memory Protection
5825,area: Sensors
5826,area: Bluetooth
5827,area: Flash
5827,area: Devicetree
5827,platform: Microchip SAM
5828,area: ARM
5828,area: Flash
5828,area: Devicetree
5828,platform: STM32
5829,area: ARM
5829,area: Flash
5829,area: Devicetree
5829,platform: nRF
5830,area: ARM
5830,area: Flash
5830,area: Devicetree
5830,platform: NXP
5831,area: ARM
5831,area: Flash
5831,area: Devicetree
5831,platform: Microchip SAM
5831,DNM
5832,area: Flashing
5832,platform: NXP
5840,area: Bluetooth
5840,RFC
5844,area: Sensors
5844,area: Devicetree
5844,area: Tests
5845,area: Sensors
5845,area: Devicetree
5846,area: Networking
5848,area: Memory Protection
5849,area: Memory Protection
5854,area: Networking
5854,area: Networking Clients
5855,area: ARM
5855,area: Boards
5855,platform: STM32
5861,area: Documentation
5861,area: Tests
5861,area: native port
5862,area: Documentation
5862,area: native port
5864,area: Networking
5865,area: SPI
5865,area: Devicetree
5865,platform: Microchip SAM
5872,bug
5872,area: Test Framework
5875,area: Devicetree
5882,area: Memory Protection
5884,area: Sensors
5884,area: Devicetree
5893,area: Networking
5894,area: Memory Protection
5899,area: Flashing
5901,area: Build System
5902,area: Networking
5905,area: ARM
5905,area: Boards
5905,platform: STM32
5908,area: ARM
5908,area: Pinmux
5908,platform: Microchip SAM
5911,area: Networking
5921,area: SPI
5921,area: API
5924,area: Networking
5927,area: Sensors
5931,area: Flash
5931,area: Devicetree
5931,platform: NXP
5937,area: Test Framework
5937,area: native port
5940,area: Networking
5947,area: Console
5947,area: native port
5949,area: ARM
5949,platform: STM32
5960,area: IPC
5960,platform: NXP
5960,EXT
5962,area: Memory Protection
5965,area: GPIO
5966,area: SPI
5966,area: ARM
5966,area: Boards
5966,platform: STM32
5971,area: Memory Protection
5983,area: Drivers
5983,area: USB
5984,DNM
5985,area: Networking
5988,area: ARM
5995,area: I2C
5995,area: ARM
5995,area: Boards
5995,area: Sensors
5995,area: Devicetree
5995,platform: NXP
5999,Feature
5999,area: ARM
5999,area: Architectures
6004,area: SPI
6004,area: ARM
6004,area: UART
6004,area: Boards
6004,area: Pinmux
6004,platform: Microchip SAM
6014,area: Networking
6014,area: LWM2M
6019,area: Networking
6027,area: Sensors
6027,area: Devicetree
6028,area: Tests
6028,area: native port
6031,area: Flash
6031,area: Devicetree
6032,area: Sensors
6032,area: Devicetree
6041,area: Networking
6042,area: Networking
6047,platform: nRF
6048,platform: nRF
6051,area: Bluetooth
6051,area: Debugging
6051,platform: STM32
6051,platform: NXP
6053,area: Sensors
6054,area: native port
6058,area: Networking
6060,area: PWM
6060,area: ARM
6060,area: Boards
6060,platform: STM32
6063,area: Test Framework
6073,area: Networking
6074,area: Networking
6076,area: Networking
6078,area: ARM
6078,area: Boards
6078,EXT
6116,area: I2C
6116,area: ARM
6116,area: Devicetree
6116,platform: STM32
6122,area: Documentation
6126,area: Test Framework
6128,area: Tests
6128,area: native port
6133,area: Networking
6133,area: Samples
6137,area: Networking
6138,area: native port
6143,Enhancement
6143,area: ARM
6143,area: Architectures
6144,area: Sensors
6153,DNM
6153,EXT
6158,priority: high
6158,area: Networking
6166,area: Bluetooth
6167,area: Networking
6168,area: Networking
6169,area: Networking
6170,area: Networking
6174,area: Networking
6175,area: Networking
6176,area: API
6176,DNM
6193,area: Networking
6195,bug
6195,area: Networking
6206,area: Pinmux
6206,platform: STM32
6208,area: Networking
6210,area: ARM
6210,area: Boards
6210,platform: Microchip SAM
6219,area: Networking
6219,area: Crypto / RNG
6221,area: Networking
6221,area: Crypto / RNG
6224,area: Networking
6225,area: Networking
6225,area: Crypto / RNG
6237,area: Networking
6239,area: Networking
6243,area: USB
6243,area: Devicetree
6243,platform: Microchip SAM
6246,area: Networking
6254,area: SPI
6254,area: ARM
6254,area: Devicetree
6254,platform: STM32
6255,DNM
6256,Feature
6256,area: USB
6268,area: Networking
6270,area: Networking
6271,area: Networking
6271,area: Crypto / RNG
6272,area: Networking
6273,area: Networking
6275,area: Networking
6277,area: Networking
6277,area: Samples
6282,bug
6282,area: Devicetree
6297,area: Devicetree
6297,platform: NXP
6298,area: SPI
6298,area: Devicetree
6298,platform: NXP
6300,area: Networking
6300,area: Crypto / RNG
6301,area: Devicetree
6304,area: Devicetree
6304,platform: Microchip SAM
6306,area: DMA
6306,platform: Microchip SAM
6310,area: Boards
6310,platform: Microchip SAM
6313,area: Console
6317,area: Networking
6320,area: Networking
6320,area: native port
6321,area: Build System
6321,area: Devicetree
6321,area: Architectures
6331,area: SPI
6331,platform: NXP
6335,area: ARM
6335,area: Boards
6335,platform: STM32
6343,area: GPIO
6343,platform: Microchip SAM
6344,area: Drivers
6344,area: Networking
6348,area: ARM
6348,area: Boards
6348,area: Devicetree
6348,platform: STM32
6354,area: ARM
6354,area: Boards
6354,platform: STM32
6355,area: Documentation
6355,area: native port
6357,Enhancement
6357,area: ARM
6357,area: Memory Protection
6357,area: Architectures
6359,area: Networking
6366,area: Devicetree
6366,Needs review
6367,area: ARM
6367,platform: NXP
6368,area: Networking
6369,area: USB
6385,area: Devicetree
6386,bug
6386,area: Devicetree
6387,area: Networking
6390,area: ARM
6394,area: Networking
6395,bug
6395,area: Build System
6395,area: Devicetree
6396,area: Boards
6396,platform: Microchip SAM
6398,area: Networking
6401,area: Sensors
6403,Feature
6403,area: ARM
6403,area: Architectures
6403,area: Trusted Execution
6406,area: I2C
6406,area: Devicetree
6407,area: Networking
6410,bug
6410,priority: high
6410,area: Networking
6411,area: Networking
6414,area: Sensors
6417,area: Bluetooth
6417,RFC
6418,area: Networking
6420,area: Sensors
6421,area: Networking
6423,area: ARM
6426,area: ARM
6426,area: Boards
6426,platform: nRF
6428,area: Security
6431,bug
6431,area: Networking
6433,area: Documentation
6434,area: Documentation
6436,area: ARM
6436,area: Boards
6436,platform: Microchip SAM
6437,area: GPIO
6437,area: ARM
6437,platform: Microchip SAM
6438,area: SPI
6438,area: ARM
6438,area: Boards
6438,platform: STM32
6441,area: Boards
6441,area: Sensors
6441,area: Samples
6442,area: Networking
6442,DNM
6445,area: Networking
6454,area: ARM
6454,area: Boards
6454,platform: STM32
6456,area: Networking
6458,DNM
6460,bug
6460,priority: high
6462,area: Bluetooth
6464,area: X86
6464,area: Devicetree
6466,area: Networking
6475,bug
6475,priority: high
6476,area: ARM
6476,area: Memory Protection
6478,area: Sensors
6483,area: I2C
6483,area: Devicetree
6483,platform: nRF
6486,Enhancement
6486,area: ARM
6489,bug
6489,Coverity
6490,bug
6504,area: Devicetree
6506,area: ARM
6507,area: ARM
6507,area: UART
6507,platform: Microchip SAM
6508,area: ARC
6508,area: Memory Protection
6510,area: Memory Protection
6517,bug
6517,priority: high
6518,area: Sensors
6529,area: Kernel
6529,area: Tests
6535,area: USB
6535,platform: STM32
6536,area: Networking
6540,area: I2C
6540,area: ARM
6540,area: Boards
6540,area: Devicetree
6550,Enhancement
6550,area: ARM
6551,area: ARM
6551,area: USB
6551,platform: Microchip SAM
6553,area: ARM
6554,area: ARM
6554,area: USB
6554,area: Devicetree
6554,platform: Microchip SAM
6556,area: Boards
6556,platform: STM32
6557,area: ARM
6557,area: Memory Protection
6558,area: ARM
6558,area: Boards
6558,platform: STM32
6560,area: Devicetree
6561,area: SPI
6561,area: ARM
6561,platform: Microchip SAM
6563,area: File System
6568,area: ARM
6569,DNM
6570,area: Networking
6570,RFC
6575,area: Boards
6575,area: Flash
6575,area: Flashing
6575,platform: STM32
6579,area: USB
6580,area: USB
6580,area: Devicetree
6580,platform: Microchip SAM
6581,area: ARM
6581,area: Boards
6581,platform: STM32
6582,area: ARM
6582,area: Boards
6582,platform: STM32
6590,area: Kernel
6590,area: Tests
6592,area: ARM
6592,area: Boards
6592,platform: STM32
6595,platform: STM32
6597,area: ARM
6597,DNM
6598,area: Networking
6600,area: Networking
6601,area: Networking
6603,platform: STM32
6609,area: ARM
6610,area: I2C
6610,area: Devicetree
6610,DNM
6615,area: API
6617,area: Boards
6618,bug
6618,area: Devicetree
6619,bug
6619,area: Boards
6619,area: ARC
6619,area: Devicetree
6622,area: Networking
6626,platform: STM32
6629,area: Networking
6630,area: Networking
6630,platform: Microchip SAM
6631,area: Networking
6633,platform: NXP
6633,EXT
6634,platform: nRF
6639,area: Networking
6641,area: Networking
6642,area: Networking
6645,area: ARM
6645,area: Trusted Execution
6664,area: USB
6707,area: Documentation
6707,area: Debugging
6708,area: Networking
6710,area: Devicetree
6711,priority: low
6711,area: ARM
6711,area: Trusted Execution
6712,area: Networking
6713,area: Networking
6714,area: Networking
6715,area: Networking
6718,area: Networking
6723,area: Networking
6724,area: Networking
6725,area: Networking
6733,area: USB
6735,area: ARM
6735,area: API
6735,area: Trusted Execution
6739,area: Documentation
6741,area: SPI
6741,area: ARM
6741,area: Documentation
6741,platform: Microchip SAM
6742,platform: nRF
6743,area: Networking
6744,area: USB
6748,area: ARM
6748,area: Trusted Execution
6754,area: Networking
6763,area: Sensors
6767,area: Networking
6771,area: Build System
6786,area: Networking
6788,area: Networking
6789,area: Networking
6790,area: Networking
6796,area: Networking
6797,area: Networking
6799,area: Bluetooth
6801,area: Networking
6807,platform: nRF
6809,area: Flashing
6809,platform: nRF
6809,DNM
6812,area: USB
6812,platform: Microchip SAM
6813,area: Networking
6813,area: USB
6813,area: Ethernet
6819,area: Build System
6819,area: ARM
6825,area: Networking
6826,area: Display
6827,area: Memory Protection
6828,area: Networking
6832,area: Debugging
6832,area: Flashing
6832,DNM
6835,area: Memory Protection
6836,area: Networking
6837,area: Boards
6837,area: Devicetree
6838,area: Networking
6839,area: SPI
6839,area: Boards
6839,area: RISCV
6840,area: I2C
6841,area: ARM
6841,area: Boards
6841,EXT
6842,area: Xtensa
6842,area: Devicetree
6845,Feature
6845,area: ARM
6845,area: Memory Protection
6847,area: Memory Protection
6856,area: Networking
6861,area: UART
6861,platform: STM32
6865,area: UART
6868,area: USB
6870,area: Networking
6871,area: Networking
6873,area: ARM
6873,area: Boards
6876,area: Memory Protection
6878,area: Networking
6895,area: Memory Protection
6901,area: Networking
6903,area: USB
6903,platform: STM32
6904,area: Networking
6914,area: Documentation
6914,area: native port
6915,area: Memory Protection
6915,platform: Microchip SAM
6916,area: USB
6920,area: Sensors
6926,bug
6926,platform: nRF
6930,area: Memory Protection
6935,Security Review
6941,area: Networking
6942,area: Networking
6943,area: Networking
6944,area: Networking
6945,area: ARM
6945,area: Boards
6945,EXT
6946,area: Networking
6951,platform: NXP
6956,area: Networking
6959,area: Networking
6963,area: Networking
6964,area: Networking
6966,area: Sensors
6971,area: Networking
6977,area: ARM
6977,area: Memory Protection
6979,area: Devicetree
6985,area: SPI
6985,platform: nRF
6986,area: Boards
6986,platform: nRF
6987,area: Networking
6993,DNM
6998,area: PWM
6998,Needs review
7000,area: Networking
7003,area: SPI
7003,platform: nRF
7005,area: Networking
7006,area: Networking
7007,platform: nRF
7011,area: Networking
7012,area: Boards
7012,area: Devicetree
7019,area: Networking
7024,area: Networking
7027,area: Networking
7028,area: Sensors
7029,area: USB
7034,platform: nRF
7035,area: Memory Protection
7037,area: Networking
7043,area: ARM
7043,area: Boards
7043,EXT
7043,platform: SiLabs
7047,area: ARM
7047,area: Flash
7047,platform: Microchip SAM
7049,area: Memory Protection
7052,area: Networking
7057,platform: nRF
7058,area: USB
7064,platform: nRF
7071,area: Memory Protection
7099,DNM
7101,area: Networking
7104,area: ARM
7104,area: Trusted Execution
7105,area: SPI
7105,area: Devicetree
7105,platform: NXP
7113,area: GPIO
7113,platform: NXP
7114,priority: high
7114,area: Security
7118,area: Networking
7119,area: Memory Protection
7123,area: Boards
7123,platform: NXP
7123,EXT
7124,area: Networking
7125,area: USB
7129,area: GPIO
7129,area: Devicetree
7129,platform: NXP
7130,area: Networking
7133,area: Networking
7134,area: Networking
7135,area: NIOS2
7135,area: Devicetree
7136,platform: STM32
7138,area: Boards
7138,area: Sensors
7138,area: Devicetree
7138,platform: STM32
7140,DNM
7142,area: Networking
7143,area: Bluetooth
7143,area: Samples
7148,area: Shell
7153,area: ARM
7153,DNM
7153,EXT
7156,area: Networking
7156,Coverity
7157,area: ARM
7160,area: Bluetooth
7160,platform: STM32
7161,area: ARM
7161,area: Boards
7161,platform: NXP
7161,EXT
7163,platform: NXP
7163,EXT
7164,area: Networking
7164,Coverity
7165,area: Networking
7166,area: Watchdog
7166,platform: NXP
7168,area: Devicetree
7168,platform: STM32
7176,platform: STM32
7181,area: GPIO
7181,area: Devicetree
7181,platform: NXP
7182,platform: NXP
7187,area: Samples
7187,area: Flash
7188,platform: NXP
7190,area: Devicetree
7191,platform: STM32
7191,DNM
7192,area: Networking
7197,area: Devicetree
7202,area: Boards
7202,platform: STM32
7204,area: Networking
7206,area: Networking
7210,priority: low
7210,area: ARM
7212,area: Networking
7215,area: ARM
7215,area: Memory Protection
7218,platform: NXP
7220,platform: STM32
7223,area: Networking
7228,area: Networking
7229,area: Networking
7232,area: Networking
7235,area: Memory Protection
7237,area: API
7237,area: CAN
7241,area: Networking
7242,platform: STM32
7247,Enhancement
7247,area: ARM
7250,area: Devicetree
7250,platform: STM32
7251,area: Networking
7267,bug
7267,DNM
7278,area: Networking
7281,platform: STM32
7284,platform: STM32
7288,area: Build System
7292,area: SPI
7292,platform: NXP
7292,Coverity
7299,area: Networking
7301,area: native port
7303,area: USB
7304,area: Networking
7306,area: GPIO
7306,platform: NXP
7307,area: Networking
7320,area: Sensors
7330,area: Tests
7334,area: PWM
7334,platform: nRF
7335,area: Networking
7344,area: Networking
7344,platform: STM32
7344,area: Ethernet
7346,area: Networking
7350,area: GPIO
7350,area: Devicetree
7352,area: Sensors
7355,area: GPIO
7355,area: Sensors
7355,area: Devicetree
7355,platform: NXP
7356,area: USB
7368,area: Bluetooth
7374,area: Sensors
7394,area: Networking
7394,area: optimization
7396,area: Memory Protection
7398,DNM
7399,area: Memory Protection
7399,DNM
7401,bug
7401,area: Sensors
7410,area: Networking
7415,area: IPC
7416,area: IPC
7418,area: Documentation
7418,platform: NXP
7420,area: Networking
7424,area: I2C
7424,platform: NXP
7428,area: Bluetooth
7429,area: ARM
7431,area: UART
7431,platform: nRF
7433,area: USB
7435,area: USB
7444,area: Devicetree
7444,platform: nRF
7445,area: ARM
7446,area: Tests
7448,priority: low
7448,area: Tests
7450,platform: STM32
7451,area: X86
7451,area: Devicetree
7457,area: ARM
7469,area: Boards
7469,platform: nRF
7474,bug
7474,area: PWM
7474,platform: nRF
7476,area: Networking
7477,area: Devicetree
7477,platform: STM32
7484,area: Tests
7485,area: Networking
7494,platform: STM32
7496,area: ARM
7496,platform: STM32
7496,area: Architectures
7498,area: USB
7498,area: Devicetree
7498,platform: STM32
7501,area: Drivers
7501,area: USB
7501,platform: STM32
7504,area: Networking
7505,platform: STM32
7506,area: Networking
7507,area: Networking
7512,area: Networking
7517,area: Networking
7518,area: USB
7518,platform: STM32
7522,area: Boards
7522,area: Documentation
7524,Feature
7524,area: Networking
7525,area: GPIO
7525,area: Devicetree
7525,platform: NXP
7526,area: Networking
7527,priority: high
7527,area: SPI
7528,Enhancement
7528,area: Networking
7529,Enhancement
7529,area: Networking
7530,bug
7530,area: Samples
7535,area: Devicetree
7538,area: Boards
7538,area: Devicetree
7538,platform: STM32
7543,area: RISCV
7543,area: Devicetree
